met type,date,mean/sum,min,max,%complete,comments
Air Temperature,03/05/2010,6.59,3.41,10.75,100,
Air Temperature,04/05/2010,6.46,1.12,11.01,100,
Air Temperature,05/05/2010,9.32,3.51,13.39,100,
Air Temperature,06/05/2010,9.88,6.66,13.97,100,
Air Temperature,07/05/2010,7.94,4.98,12.05,100,
Air Temperature,08/05/2010,6.75,5.54,8.42,100,
Air Temperature,09/05/2010,7.67,5.49,10.16,100,
Air Temperature,10/05/2010,8.23,4.38,12.47,100,
Air Temperature,11/05/2010,5.87,0.99,9.92,100,
Air Temperature,12/05/2010,6.21,0.88,10.91,100,
Air Temperature,13/05/2010,6.87,2.63,11.1,100,
Air Temperature,14/05/2010,8.38,4,12.46,100,
Air Temperature,15/05/2010,11.15,6.69,16.07,100,
Air Temperature,16/05/2010,9.75,5.65,12.48,100,
Air Temperature,17/05/2010,11.75,7.13,16.46,100,
Air Temperature,18/05/2010,12.64,6.92,17.1,100,
Air Temperature,19/05/2010,12.93,6.1,19.19,100,
Air Temperature,20/05/2010,15.67,9.81,20.63,100,
Air Temperature,21/05/2010,17.7,13.15,23.02,100,
Air Temperature,22/05/2010,17.12,10.36,23.69,100,
Air Temperature,23/05/2010,18.14,10.02,25.57,100,
Air Temperature,24/05/2010,19.92,12.48,26.61,100,
Air Temperature,25/05/2010,14.96,9.52,21.42,100,
Air Temperature,26/05/2010,11.76,8,16.87,100,
Air Temperature,27/05/2010,10.11,7.64,13.9,100,
Air Temperature,28/05/2010,11.48,6.24,16.75,100,
Air Temperature,29/05/2010,11.31,8.83,13.15,100,
Air Temperature,30/05/2010,13.99,10.14,17.7,100,
Air Temperature,31/05/2010,11.94,7.81,14.85,100,
Air Temperature,01/06/2010,11.33,10.69,12.04,100,
Air Temperature,02/06/2010,14.56,9.45,21.05,100,
Air Temperature,03/06/2010,15.92,8.48,22.64,100,
Air Temperature,04/06/2010,17.27,8.94,23.92,100,
Air Temperature,05/06/2010,19.13,12.51,25.55,100,
